game_name,developer,user_defined_tags,supported_os,price,release_date,rating,estimated_downloads
Counter-Strike 2,Valve,"FPS, Action, Tactical","win, linux",0.0,"21 Aug, 2012",3.2,306170000
Dota 2,Valve,"Strategy, Action, Combat","win, mac, linux",0.0,"9 Jul, 2013",3.71,234950000
PUBG: BATTLEGROUNDS,PUBG Corporation,"Survival, Shooter, Action, Tactical",win,0.0,"21 Dec, 2017",3.1,162350000
Team Fortress 2,Valve,"Action, FPS, Tactical","win, linux",0.0,"10 Oct, 2007",4.3,99070000
Palworld,Pocketpair,"Open World, Survival, Crafting, RPG",win,14.99,"19 Jan, 2024",3.86,98840000
Apex Legends™,Respawn,"FPS, Action, Survival",win,0.0,"5 Nov, 2020",3.5,93560000
Terraria,Re-Logic,"Open World, Survival, Crafting, Sandbox, 2D","win, mac, linux",5.79,"16 May, 2011",4.2,93430000
Black Myth: Wukong,Game Science,"RPG, Action, Souls-like, Fantasy",win,59.99,"20 Aug, 2024",3.79,70830000
Call of Duty®: Warzone™,Infinity Ward,"FPS, Action, Survival",win,0.0,"16 Nov, 2022",2.88,70450000
Call of Duty®: Black Ops 6,Treyarch,"Action, FPS",win,69.99,"25 Oct, 2024",3.6,70450000
Mystopia,Last Minute Studios,"Sandbox, Building","win, linux",4.99,"27 May, 2025",4.36,90
CONERU -DIMENSION GIRL-,HIKE Inc.,"2D, Platformer, Action, RPG",win,10.49,"28 May, 2025",2.39,210
Lords Mobile,IGG SINGAPORE PTE. LTD.,"Strategy, War",win,0.0,"3 Jun, 2019",2.75,240
Italian Brainrot: In Prison,ShLeks,"Survival, Horror",win,1.0,"25 May, 2025",4.28,280
NIGHT STORE SIMULATOR,Ted Zufle,"Simulation, Adventure",win,1.99,"6 Dec, 2024",2.18,330
Your Sister,Your Sister!,Anime,win,0.89,"27 Apr, 2025",0.85,330
HAPPY girls,Lovely Girls Studio,"Anime, Puzzle, Cute, 2D",win,0.89,"31 Jul, 2024",1.66,330
to a T,uvula LLC,"Adventure, Puzzle",win,9.49,"28 May, 2025",2.1,380
Haunted: Attack of the Dead Men,GameBeast Productions,"War, FPS, Action","win, linux",6.59,"6 Aug, 2024",3.02,390
Metro Mini Market Simulator,Altai Entertainment,"Simulation, Management",win,2.49,"28 May, 2025",2.11,420
Microjuego,TFMGrafos,FPS,"win, mac",0.0,"20 Sep, 2025",3.47,267754
