"juego_id","titulo","anio","plataformas","rating","precio","estudio_id"
"J_COUNTER_STRIKE_2","Counter-Strike 2",,"win, linux",3.2,0,"E_VALVE"
"J_DOTA_2","Dota 2",,"win, mac, linux",3.71,0,"E_VALVE"
"J_PUBG_BATTLEGROUNDS","PUBG: BATTLEGROUNDS",,"win",3.1,0,"E_PUBG_CORPORATION"
"J_TEAM_FORTRESS_2","Team Fortress 2",,"win, linux",4.3,0,"E_VALVE"
"J_PALWORLD","Palworld",,"win",3.86,14.99,"E_POCKETPAIR"
"J_APEX_LEGENDSTM","Apex Legends™",,"win",3.5,0,"E_RESPAWN"
"J_TERRARIA","Terraria",,"win, mac, linux",4.2,5.79,"E_RE_LOGIC"
"J_BLACK_MYTH_WUKONG","Black Myth: Wukong",,"win",3.79,59.99,"E_GAME_SCIENCE"
"J_CALL_OF_DUTY_R_WAR","Call of Duty®: Warzone™",,"win",2.88,0,"E_INFINITY_WARD"
"J_CALL_OF_DUTY_R_BLA","Call of Duty®: Black Ops 6",,"win",3.6,69.99,"E_TREYARCH"
"J_MYSTOPIA","Mystopia",,"win, linux",4.36,4.99,"E_LAST_MINUTE_STUDIO"
"J_CONERU_DIMENSION_G","CONERU -DIMENSION GIRL-",,"win",2.39,10.49,"E_HIKE_INC"
"J_LORDS_MOBILE","Lords Mobile",,"win",2.75,0,"E_IGG_SINGAPORE_PTE_"
"J_ITALIAN_BRAINROT_I","Italian Brainrot: In Prison",,"win",4.28,1,"E_SHLEKS"
"J_NIGHT_STORE_SIMULA","NIGHT STORE SIMULATOR",,"win",2.18,1.99,"E_TED_ZUFLE"
"J_YOUR_SISTER","Your Sister",,"win",0.85,0.89,"E_YOUR_SISTER"
"J_HAPPY_GIRLS","HAPPY girls",,"win",1.66,0.89,"E_LOVELY_GIRLS_STUDI"
"J_TO_A_T","to a T",,"win",2.1,9.49,"E_UVULA_LLC"
"J_HAUNTED_ATTACK_OF_","Haunted: Attack of the Dead Men",,"win, linux",3.02,6.59,"E_GAMEBEAST_PRODUCTI"
"J_METRO_MINI_MARKET_","Metro Mini Market Simulator",,"win",2.11,2.49,"E_ALTAI_ENTERTAINMEN"
