jg_id,juego_id,genero_nombre
JG_001,J_COUNTER_STRIKE_2,FPS
JG_002,J_COUNTER_STRIKE_2,Action
JG_003,J_COUNTER_STRIKE_2,Tactical
JG_004,J_DOTA_2,Strategy
JG_005,J_DOTA_2,Action
JG_006,J_DOTA_2,Combat
JG_007,J_PUBG_BATTLEGROUNDS,Survival
JG_008,J_PUBG_BATTLEGROUNDS,Shooter
JG_009,J_PUBG_BATTLEGROUNDS,Action
JG_010,J_PUBG_BATTLEGROUNDS,Tactical
JG_011,J_TEAM_FORTRESS_2,Action
JG_012,J_TEAM_FORTRESS_2,FPS
JG_013,J_TEAM_FORTRESS_2,Tactical
JG_014,J_PALWORLD,Open World
JG_015,J_PALWORLD,Survival
JG_016,J_PALWORLD,Crafting
JG_017,J_PALWORLD,RPG
JG_018,J_APEX_LEGENDSTM,FPS
JG_019,J_APEX_LEGENDSTM,Action
JG_020,J_APEX_LEGENDSTM,Survival
JG_021,J_TERRARIA,Open World
JG_022,J_TERRARIA,Survival
JG_023,J_TERRARIA,Crafting
JG_024,J_TERRARIA,Sandbox
JG_025,J_TERRARIA,2D
JG_026,J_BLACK_MYTH_WUKONG,RPG
JG_027,J_BLACK_MYTH_WUKONG,Action
JG_028,J_BLACK_MYTH_WUKONG,Souls-like
JG_029,J_BLACK_MYTH_WUKONG,Fantasy
JG_030,J_CALL_OF_DUTY_R_WAR,FPS
JG_031,J_CALL_OF_DUTY_R_WAR,Action
JG_032,J_CALL_OF_DUTY_R_WAR,Survival
JG_033,J_CALL_OF_DUTY_R_BLA,Action
JG_034,J_CALL_OF_DUTY_R_BLA,FPS
JG_035,J_MYSTOPIA,Sandbox
JG_036,J_MYSTOPIA,Building
JG_037,J_CONERU_DIMENSION_G,2D
JG_038,J_CONERU_DIMENSION_G,Platformer
JG_039,J_CONERU_DIMENSION_G,Action
JG_040,J_CONERU_DIMENSION_G,RPG
JG_041,J_LORDS_MOBILE,Strategy
JG_042,J_LORDS_MOBILE,War
JG_043,J_ITALIAN_BRAINROT_I,Survival
JG_044,J_ITALIAN_BRAINROT_I,Horror
JG_045,J_NIGHT_STORE_SIMULA,Simulation
JG_046,J_NIGHT_STORE_SIMULA,Adventure
JG_047,J_YOUR_SISTER,Anime
JG_048,J_HAPPY_GIRLS,Anime
JG_049,J_HAPPY_GIRLS,Puzzle
JG_050,J_HAPPY_GIRLS,Cute
JG_051,J_HAPPY_GIRLS,2D
JG_052,J_TO_A_T,Adventure
JG_053,J_TO_A_T,Puzzle
JG_054,J_HAUNTED_ATTACK_OF_,War
JG_055,J_HAUNTED_ATTACK_OF_,FPS
JG_056,J_HAUNTED_ATTACK_OF_,Action
JG_057,J_METRO_MINI_MARKET_,Simulation
JG_058,J_METRO_MINI_MARKET_,Management
JG_059,J_MICROJUEGO,FPS
